"","state","total_population","votingAgeCap","total_votes_2012","total_votes_2016","White","Black","Hispanic","Nonwhite","Foreign_born","Female_count","age29andunder_count","age65andolder_count","clf_unemploy_count","lesshs_count","lesscollege_count","lesshs_whites_count","lesscollege_whites_count","rural_count","median_hh_inc","Party_12","Party_16","Party_Name","Vote_Count","Year"
"87","Iowa",3106589,2295045,1582180,1566031,2701600,100660,172707,404989,151167,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","OTH",29019,2012
"88","Iowa",3106589,2295045,1582180,1566031,2701600,100660,172707,404989,151167,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","REP",800983,2016
"89","Iowa",3106589,2295045,1582180,1566031,2701600,100660,172707,404989,151167,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","DEM",653669,2016
"90","Iowa",3106589,2295045,1582180,1566031,2701600,100660,172707,404989,151167,1563601,1239835,490781,141151.591620943,255548.394926956,2248932.53010179,196205.376531795,2221966.49099873,1097421.19945891,49942,"#00008B","#DC143C","OTH",111379,2016
"91","Kansas",2898292,2061765,1156254,1184403,2227043,163121,327739,671249,200769,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","REP",689809,2012
"92","Kansas",2898292,2061765,1156254,1184403,2227043,163121,327739,671249,200769,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","DEM",439908,2012
"93","Kansas",2898292,2061765,1156254,1184403,2227043,163121,327739,671249,200769,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","OTH",26537,2012
"94","Kansas",2898292,2061765,1156254,1184403,2227043,163121,327739,671249,200769,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","REP",671018,2016
"95","Kansas",2898292,2061765,1156254,1184403,2227043,163121,327739,671249,200769,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","DEM",427005,2016
"96","Kansas",2898292,2061765,1156254,1184403,2227043,163121,327739,671249,200769,1456380,1210799,415527,155293.535650947,283306.923230234,1979934.38967358,186209.842680815,1911605.27497282,731634.454279364,47532,"#DC143C","#DC143C","OTH",86380,2016
"97","Kentucky",4411989,3313780,1797212,1924149,3766346,345715,146945,645643,154143,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","REP",1087190,2012
"98","Kentucky",4411989,3313780,1797212,1924149,3766346,345715,146945,645643,154143,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","DEM",679370,2012
"99","Kentucky",4411989,3313780,1797212,1924149,3766346,345715,146945,645643,154143,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","OTH",30652,2012
"100","Kentucky",4411989,3313780,1797212,1924149,3766346,345715,146945,645643,154143,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","REP",1202971,2016
"101","Kentucky",4411989,3313780,1797212,1924149,3766346,345715,146945,645643,154143,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","DEM",628854,2016
"102","Kentucky",4411989,3313780,1797212,1924149,3766346,345715,146945,645643,154143,2239244,1725300,653000,343643.41177772,673757.113694697,3403194.228599,633313.121320486,3351296.62145498,1810825.38230422,39753,"#DC143C","#DC143C","OTH",92324,2016
"103","Louisiana",4645670,3432025,1994065,2029032,2754643,1483906,223408,1891027,187580,2373986,1919300,633725,359715.161358292,750373.185457647,3578269.48638439,533055.559329629,3296173.64976405,1226202.83774742,40793,"#DC143C","#DC143C","REP",1152262,2012
