"","state","Rep_12","Dem_12","Other_12","Rep_16","Dem_16","Other_16","total_population","votingAgeCap","total_votes_2012","total_votes_2016","Female_count","age29andunder_count","age65andolder_count","clf_unemploy_count","lesshs_count","lesscollege_count","lesshs_whites_count","lesscollege_whites_count","rural_count","median_hh_inc","Party_12","Party_16","Demographic","Dem_pop"
"94","Maine",291418,399235,19473,334945,354718,54278,1329923,1051865,710126,743941,678579,450087,242251,80694.6298805712,107474.423487405,939982.95940624,102344.546558222,937550.896294296,812705.932864346,47025,"#00008B","#00008B","Nonwhite",83317
"95","Maine",291418,399235,19473,334945,354718,54278,1329923,1051865,710126,743941,678579,450087,242251,80694.6298805712,107474.423487405,939982.95940624,102344.546558222,937550.896294296,812705.932864346,47025,"#00008B","#00008B","Foreign_born",47651
"96","Maryland",971869,1677844,57614,943169,1677928,160349,5959902,4212250,2707327,2781446,3073168,2322028,820050,402720.479691907,619464.611080457,3672690.14625814,407291.839765462,3211436.3985528,755436.091847245,68463.5,"#00008B","#00008B","White",3128390
"97","Maryland",971869,1677844,57614,943169,1677928,160349,5959902,4212250,2707327,2781446,3073168,2322028,820050,402720.479691907,619464.611080457,3672690.14625814,407291.839765462,3211436.3985528,755436.091847245,68463.5,"#00008B","#00008B","Black",1738618
"98","Maryland",971869,1677844,57614,943169,1677928,160349,5959902,4212250,2707327,2781446,3073168,2322028,820050,402720.479691907,619464.611080457,3672690.14625814,407291.839765462,3211436.3985528,755436.091847245,68463.5,"#00008B","#00008B","Hispanic",550145.999999999
"99","Maryland",971869,1677844,57614,943169,1677928,160349,5959902,4212250,2707327,2781446,3073168,2322028,820050,402720.479691907,619464.611080457,3672690.14625814,407291.839765462,3211436.3985528,755436.091847245,68463.5,"#00008B","#00008B","Nonwhite",2831512
"100","Maryland",971869,1677844,57614,943169,1677928,160349,5959902,4212250,2707327,2781446,3073168,2322028,820050,402720.479691907,619464.611080457,3672690.14625814,407291.839765462,3211436.3985528,755436.091847245,68463.5,"#00008B","#00008B","Foreign_born",874332.000000001
"101","Massachusetts",1188314,1921290,58163,1090893,1995196,188466,6742143,4887320,3167767,3274555,3472772,2571459,1016679,458687.827228781,673091.755347174,3966955.2007351,443496.468455863,3715374.3618239,533976.0897889,64458,"#00008B","#00008B","White",4970011
"102","Massachusetts",1188314,1921290,58163,1090893,1995196,188466,6742143,4887320,3167767,3274555,3472772,2571459,1016679,458687.827228781,673091.755347174,3966955.2007351,443496.468455863,3715374.3618239,533976.0897889,64458,"#00008B","#00008B","Black",443182
"103","Massachusetts",1188314,1921290,58163,1090893,1995196,188466,6742143,4887320,3167767,3274555,3472772,2571459,1016679,458687.827228781,673091.755347174,3966955.2007351,443496.468455863,3715374.3618239,533976.0897889,64458,"#00008B","#00008B","Hispanic",731739.000000001
"104","Massachusetts",1188314,1921290,58163,1090893,1995196,188466,6742143,4887320,3167767,3274555,3472772,2571459,1016679,458687.827228781,673091.755347174,3966955.2007351,443496.468455863,3715374.3618239,533976.0897889,64458,"#00008B","#00008B","Nonwhite",1772132
"105","Massachusetts",1188314,1921290,58163,1090893,1995196,188466,6742143,4887320,3167767,3274555,3472772,2571459,1016679,458687.827228781,673091.755347174,3966955.2007351,443496.468455863,3715374.3618239,533976.0897889,64458,"#00008B","#00008B","Foreign_born",1061461
"106","Michigan",2115256,2564569,51136,2279543,2268839,250902,9909600,7408635,4730961,4799284,5039715,3843674,1527698,855391.690853221,1002377.05529532,7176594.23891731,830054.412384449,7011678.14743151,2508346.88961855,43373,"#00008B","#DC143C","White",7503076
